job_title,comp_name,comp_type,comp_size,region,city,contract,exper,gender,positions,salary
مدير فرع,شركة ماس الدولية للمقاولات شركة شخص واحد,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,M,1,5500.0
أخصائي تطوير إداري,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,3,4000.0
مدير تسويق,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,1,4000.0
مدير خدمة العملاء,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,1,4000.0
أخصائي تسويق,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,4,4000.0
مندوب مشتريات,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,1,4000.0
مندوب مبيعات,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,3,4000.0
أخصائي خدمة عملاء,بنتي للتجارة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,2,4000.0
فني تدفئة وتهوية وتكييف,مؤسسة مرميس للمقاولات,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,1,4000.0
مهندس ميكانيكي,شركة زهرة الصحراء للخدمات اللوجستية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,M,3,7000.0
مدير رقابة ادارية,محل عبدالرحمن عوظه عبدالله الشهراني التجارية,خاص,صغيرة فئة أ,عسير,BISHAH...,دوام كامل,0,M,1,6000.0
موظف صندوق محاسبة,مركز مناهل ديرتي لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,مكة المكرمة,MAKKAH AL...,دوام كامل,0,M,2,4000.0
موظف صندوق محاسبة,شركة الوصفات المختلفة التجارية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,1,4000.0
مدير تسويق,مؤسسة خالد فيحان نايف النفيعي العقاري,خاص,صغيرة فئة أ,مكة المكرمة,AL HAWIYA...,دوام كامل,0,F,1,4000.0
صيدلي,شركة نيرا الطبية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,1,7000.0
مدير تدريب,شركة حلال العالمي للتدريب,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,M,1,5000.0
مدير حساب عميل,مؤسسة دعائم التقنية للحاسب الالي,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,F,1,5500.0
حارس أمن,شركة شبلا للحراسات الامنية شركة شخص واحد,خاص,كبيرة,الرياض,ABA ASLAB...,دوام كامل,0,M,4,3640.0
طبيب أمراض جلدية,شركة العلاج البديل الطبية,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,4,both,2,8000.0
أخصائي تسويق,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,7,both,1,8000.0
نادل,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,both,2,5000.0
موظف صندوق محاسبة,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,both,2,4000.0
كاتب موارد بشرية,شركة القدرات الوطنية للخدمات التجارية,خاص,متوسطة فئة أ,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,F,2,5000.0
معلم ثانوي أحياء,شركه الرشد التعليميه المحدوده,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,M,1,4000.0
معلم ثانوي لغة عربية,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,خاص,متوسطة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,3,5500.0
مساعد إداري,فوال طيبات خلوفه لتقديم الوجبات,خاص,متوسطة فئة ج,مكة المكرمة,JEDDAH...,دوام كامل,0,M,1,4000.0
أخصائي تسويق,شركة ايرادات للخدمات العقارية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,M,1,7000.0
أخصائي عمليات موارد بشرية,شركة أمان التنمية المحدودة,خاص,صغيرة فئة ب,عسير,KHAMIS MU...,دوام كامل,2,both,2,4000.0
محاسب,شركة دهونت ثيرمال سالوشانز للصناعة المحدودة,خاص,متوسطة فئة أ,المنطقة الشرقية,AL JUBAIL...,دوام كامل,2,M,1,5250.0
أخصائي تسويق,شركة علي ناصر النصار وشركاه,خاص,متوسطة فئة ب,المنطقة الشرقية,ABRAQIYAH...,دوام كامل,2,both,2,5000.0
بائع مأكولات ومشروبات,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,both,10,4000.0
مهندس ميكانيكي,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,M,1,7000.0
مهندس مدني,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,M,1,7000.0
